"file","class","strategy","score","code_quality","has_sl","has_tp","has_trailing","has_grid","has_martingale","has_equity_stop","has_time_filter","has_money_mgmt","indicators","timeframe","function_count","obfuscated_count"
"Daily_Research.mq4","C","Unknown","19","clean","False","True","False","False","False","False","False","False","","Any","1","0"
"day open .mq4","C","MeanReversal","36","clean","False","True","False","False","False","False","False","False","RSI","D1","3","0"
"Daydream01.mq4","C","Unknown","24","clean","False","True","False","False","False","False","False","False","Donchian","Any","5","0"
"DeleteAllObjects.mq4","C","MeanReversal","33","clean","False","True","False","False","False","False","False","False","RSI","Any","1","0"
"Dope.mq4","B","Scalping","54","clean","True","True","True","False","False","False","False","False","RSI","Any","6","0"
"Dope_mod.mq4","B","Scalping","60","clean","True","True","True","False","False","False","False","False","RSI","Any","6","0"
"Dope_mod_2.mq4","B","Scalping","60","clean","True","True","True","False","False","False","False","False","RSI","Any","6","1"
"Doske_Scalping_EA_ver1.mq4","B","Scalping","59","clean","True","True","True","False","False","False","False","True","MA","Any","7","0"
"Double(Ilan1_5&Ilan1_6).mq4","B","GridMartingale","54","clean","True","True","True","True","False","True","False","False","","Any","0","0"
"Dragon Expert Advisor v4.1 updated 2019 .mq4","C","MeanReversal","37","clean","False","True","False","False","True","False","True","False","MA, RSI, CCI","Any","1","0"
"Dragon Pips v2.02 Rev.mq4","B","Trend","54","clean","True","True","False","False","False","False","False","True","MA","Any","2","0"
"Dream EA.mq4","C","Scalping","34","clean","False","False","False","False","False","False","False","False","RSI","Any","3","0"
"Dreko.mq4","C","MeanReversal","20","obfuscated","True","False","False","False","False","False","False","True","RSI","Any","0","26"
"EA - Budak Ubat v1.51.mq4","B","GridMartingale","61","clean","True","True","True","True","False","True","False","True","Donchian","Any","3","0"
"EA for Set TP-SL.mq4","C","Unknown","33","clean","True","True","False","False","False","False","False","False","","Any","3","0"
"EA Masyuk V3..mq4","B","Trend","54","clean","True","True","False","False","False","False","False","False","MA","Any","6","0"
"EA noName(1).mq4","C","GridMartingale","46","clean","True","True","True","False","True","False","False","False","MA, RSI, Fractals, Donchian","Any","0","0"
"EA Phoenix 2021.mq4","B","Scalping","54","clean","True","True","True","False","False","False","False","False","RSI","Any","7","0"
