"file","class","strategy","score","indicators","has_sl","has_tp","code_quality"
"Close Losses.mq4","C","MeanReversal","30","RSI","False","False","clean"
"Close Open.mq4","C","MeanReversal","30","RSI","False","False","clean"
"Close Pendings.mq4","C","MeanReversal","30","RSI","False","False","clean"
"Close Profits.mq4","C","MeanReversal","30","RSI","False","False","clean"
"CloseAfterXpips EA.mq4","C","Unknown","23","","False","True","clean"
"CloseAllTrades.mq4","C","Breakout","26","","False","False","clean"
"CloseAllTradesBuy.mq4","C","Unknown","14","","False","False","clean"
"CloseAllTradesBuyCurrent.mq4","C","Unknown","14","","False","False","clean"
"CloseAllTradesCurrent.mq4","C","Breakout","26","","False","False","clean"
"CloseAllTradesOpened.mq4","C","Unknown","14","","False","False","clean"
"CloseAllTradesOpenedCurrent.mq4","C","Unknown","14","","False","False","clean"
"CloseAllTradesPending.mq4","C","Breakout","26","","False","False","clean"
"CloseAllTradesPendingCurrent.mq4","C","Breakout","26","","False","False","clean"
"CloseAllTradesSell.mq4","C","Unknown","14","","False","False","clean"
"CloseAllTradesSellCurrent.mq4","C","Unknown","14","","False","False","clean"
"CloseAtProfit.mq4","C","Breakout","42","","True","False","clean"
"closeattime.mq4","C","Breakout","36","","False","True","clean"
"closetrades_after_account_loss_toomuch.mq4","C","Unknown","19","","False","False","clean"
"CTG-Modify_Date.mq4","C","MeanReversal","33","RSI","False","True","clean"
"Daily_Research.mq4","C","Unknown","19","","False","True","clean"
"day open .mq4","C","MeanReversal","36","RSI","False","True","clean"
"Daydream01.mq4","C","Unknown","24","Donchian","False","True","clean"
"DeleteAllObjects.mq4","C","MeanReversal","33","RSI","False","True","clean"
"Dragon Expert Advisor v4.1 updated 2019 .mq4","C","MeanReversal","37","MA, RSI, CCI","False","True","clean"
"Dream EA.mq4","C","Scalping","34","RSI","False","False","clean"
"Dreko.mq4","C","MeanReversal","20","RSI","True","False","obfuscated"
"EA for Set TP-SL.mq4","C","Unknown","33","","True","True","clean"
"EA noName(1).mq4","C","GridMartingale","46","MA, RSI, Fractals, Donchian","True","True","clean"
"Ea Scalper FX Finish_.mq4","C","GridMartingale","26","","True","False","obfuscated"
"EA-HOKKYDJONG.mq4","C","Unknown","5","","True","True","obfuscated"
"EA_Close_All_v5.mq4","C","MeanReversal","31","RSI","False","False","clean"
"EA_eurusd m15.mq4","C","MeanReversal","31","Stochastic","False","False","clean"
"EA_LUCRE.mq4","C","Unknown","5","","True","True","obfuscated"
"EA_TheOne.mq4","C","Scalping","29","RSI","True","True","obfuscated"
"Elite_eFibo_Trader_v2_1.mq4","C","Breakout","47","","True","True","clean"
"EquityGuard1.2c.mq4","C","Trend","34","MA","False","False","clean"
"EuroScalper MQ4 source.mq4","C","GridMartingale","27","RSI","True","True","obfuscated"
"Exclusive Scalping EA.mq4","C","Scalping","45","RSI","True","True","clean"
"Fast Scalper.mq4","C","GridMartingale","43","RSI","True","False","clean"
"FFCal Panel (Black).mq4","C","Trend","34","MA","False","True","clean"
"FFCal.mq4","C","MeanReversal","33","RSI","False","True","clean"
"Find Data Holes.mq4","C","Unknown","19","","False","True","clean"
"Firebird v0.50(26JUL05).mq4","C","GridMartingale","46","MA","True","True","clean"
"Firebird v0.50.mq4","C","GridMartingale","46","MA","True","True","clean"
"Firebird v0.51.mq4","C","GridMartingale","46","MA, Pivot","True","True","clean"
"Firebird v0.56 [ea].mq4","C","Unknown","0","","False","False","unknown"
"Firebird v0.57 [ea].mq4","C","Unknown","0","","False","False","unknown"
"Firebird v0.58 [ea].mq4","C","Unknown","0","","False","False","unknown"
"Firebird v0.60 [ea].mq4","C","Unknown","0","","False","False","unknown"
"Firebird v0.61.01 [ea].mq4","C","Unknown","0","","False","False","unknown"
"Firebird v0.61.01 [ea]5.mq4","C","Unknown","0","","False","False","unknown"
"Firebird v0.62 [ea].mq4","C","Unknown","0","","False","False","unknown"
"Firebird v0.63 [ea].mq4","C","Unknown","0","","False","False","unknown"
"Firebird v3[1].2-fixed.mq4","C","Unknown","0","","False","False","unknown"
"Firebird_v0[1].60__ea_.mq4","C","Unknown","0","","False","False","unknown"
"Firestats v0.5.mq4","C","Trend","34","MA","False","True","clean"
"FlyBot EA 2.0.mq4","C","Scalping","34","RSI","False","False","clean"
"FlyBot EA.mq4","C","Scalping","32","RSI","False","False","clean"
"Forex Fireball by Forex Robot Nation~.mq4","C","Unknown","9","","True","True","obfuscated"
"Forex hacked Pro~.mq4","C","Scalping","26","MA","True","True","obfuscated"
"Forex PiP Killer .mq4","C","Unknown","14","","False","False","clean"
"Forex-Gold-Trader-V.2.0.mq4","C","Unknown","22","","False","True","clean"
"forex50pips.mq4","C","Trend","37","MA","False","True","clean"
"ForexMission.mq4","C","Trend","30","MA, MACD","True","True","obfuscated"
"FoZo System.mq4","C","MeanReversal","32","RSI","False","False","clean"
"Fracture-7.4.0.mq4","C","Trend","40","MA, ADX, Fractals","False","False","clean"
"fx street 2.mq4","C","MeanReversal","31","RSI","False","False","clean"
"FXCore100.mq4","C","MeanReversal","36","RSI, Stochastic","False","True","clean"
"FXMIND SCALPANDO H1 STANDARD 300$.mq4","C","GridMartingale","32","RSI","True","True","obfuscated"
"FXMIND SCALPANDO H1 STANDARD.mq4","C","GridMartingale","32","RSI","True","True","obfuscated"
"Ghost EA.mq4","C","Scalping","32","RSI","False","False","clean"
"Gold Rush Pro Source Code.mq4","C","GridMartingale","24","RSI","False","False","clean"
"GOLD SMART EA 1.mq4","C","Trend","37","MA","False","True","clean"
"Gold.mq4","C","MeanReversal","47","RSI","True","True","clean"
"Golden EA.mq4","C","Unknown","31","RSI","True","False","clean"
"Golden Owl source code.mq4","C","GridMartingale","31","MA, RSI","False","True","clean"
"Good good.mq4","C","GridMartingale","15","Stochastic","True","True","obfuscated"
"GPSForexRobotEURGBP_edu.mq4","C","Trend","40","MA","False","True","clean"
"GPSForexRobotEURUSD_edu.mq4","C","Trend","40","MA","False","True","clean"
"GPSForexRobotUSDCHF_edu.mq4","C","Trend","40","MA","False","True","clean"
"Grail.mq4","C","MeanReversal","47","RSI","True","True","clean"
"H4_BreakOut_Cycle_V1a.mq4","C","MeanReversal","44","RSI","True","True","clean"
"Hide Trendline Script.mq4","C","Unknown","14","","False","False","clean"
"ichi_scalper_allpairs_v52.mq4","C","Trend","33","MA","False","False","clean"
"iCustom_EA1.mq4","C","GridMartingale","46","RSI","True","True","clean"
"icwr.6.mq4","C","MeanReversal","47","RSI","True","True","clean"
"icwr.7.mq4","C","MeanReversal","47","RSI","True","True","clean"
"icwr.8.mq4","C","MeanReversal","47","RSI","True","True","clean"
"icwr.9.mq4","C","MeanReversal","47","RSI","True","True","clean"
"icwr.mq4","C","MeanReversal","47","RSI","True","True","clean"
"icwr1.5.mq4","C","MeanReversal","47","RSI","True","True","clean"
"icwr1.mq4","C","MeanReversal","47","RSI","True","True","clean"
"icwr2.2.mq4","C","MeanReversal","47","RSI","True","True","clean"
"icwr2.mq4","C","MeanReversal","47","RSI","True","True","clean"
"Ikarus_2.0.mq4","C","MeanReversal","37","RSI, CCI","False","True","clean"
"ILAN TURBO BETA v.4.5.1 +Mear.mq4","C","MeanReversal","39","RSI","False","True","clean"
"Ilan_Exstra_Friday-from_Martingeil.mq4","C","GridMartingale","43","","False","True","clean"
"Ilan_Lite_1.mq4","C","Unknown","25","","False","True","clean"
"Ilan_RSI_mm_extr18.mq4","C","GridMartingale","37","MA","False","True","clean"
"Ilan_RSI_mm_extr192_rrr.mq4","C","GridMartingale","34","","False","True","clean"
"Indicator Max Pips.mq4","C","Trend","45","MA","True","True","clean"
"Investing.mq4","C","GridMartingale","41","RSI","False","True","clean"
"Iron Scalper EA.mq4","C","GridMartingale","46","MA, RSI","True","False","clean"
"IS Blue EA 2.0.mq4","C","GridMartingale","42","RSI","True","True","clean"
"IS Green EA 2.0.mq4","C","GridMartingale","46","RSI","True","True","clean"
"IS Green EA.mq4","C","GridMartingale","46","RSI","True","True","clean"
"IS Grey EA (Safe Mod).mq4","C","Unknown","33","MA, RSI","True","True","clean"
"IS Grey EA.mq4","C","Unknown","33","MA, RSI","True","True","clean"
"IS Light EA 2.0.mq4","C","GridMartingale","35","MA, RSI","False","True","clean"
"IS Light EA.mq4","C","Unknown","37","MA, RSI","True","True","clean"
"IS Lime EA.mq4","C","Unknown","33","MA, RSI","True","True","clean"
"IS Orange EA (PROP Firm).mq4","C","GridMartingale","46","RSI","True","True","clean"
"IS Orange EA.mq4","C","GridMartingale","46","RSI","True","True","clean"
"IS Purple EA 1.1.mq4","C","GridMartingale","46","MA, RSI","True","True","clean"
"IS Purple EA 1.2.mq4","C","GridMartingale","46","MA, RSI","True","True","clean"
"IS Purple EA.mq4","C","GridMartingale","46","RSI","True","True","clean"
"IS Red EA 2.0.mq4","C","GridMartingale","46","RSI","True","True","clean"
"IS Red EA.mq4","C","GridMartingale","46","RSI","True","True","clean"
"IS SevenTrade EA 3.0.mq4","C","Unknown","31","RSI","True","False","clean"
"IS Smart Scalper 6.0.mq4","C","GridMartingale","31","MA, RSI","False","True","clean"
"IS VIP One EA.mq4","C","Unknown","37","MA, RSI","True","True","clean"
"IS White EA 2.0.mq4","C","GridMartingale","46","RSI","True","True","clean"
"IS White EA.mq4","C","GridMartingale","46","RSI","True","True","clean"
"IS Yellow EA 2.0.mq4","C","Scalping","38","MA, RSI","False","True","clean"
"IS Yellow EA.mq4","C","Scalping","38","MA, RSI","False","True","clean"
"iSwing v5.3.mq4","C","Unknown","10","","False","False","clean"
"i_TDI_MA_01.mq4","C","Scalping","36","MA, RSI","False","True","clean"
"JabrixScalperForInsta.mq4","C","Unknown","29","","True","False","partially_obfuscated"
"Jum+StoC+v2.3F~.mq4","C","GridMartingale","18","MA, Stochastic","True","True","obfuscated"
"Jum+StoCh luis.mq4","C","GridMartingale","15","Stochastic","True","True","obfuscated"
"Jum+StoCh+v2 (3).5F.mq4","C","GridMartingale","15","Stochastic","True","True","obfuscated"
"Jum+StoCh+v2.3F.mq4","C","GridMartingale","18","MA, Stochastic","True","True","obfuscated"
"Jum+StoCh+v2.5F.mq4","C","GridMartingale","15","Stochastic","True","True","obfuscated"
"JUMSTOCH_FIXEDLOT.mq4","C","GridMartingale","15","Stochastic","True","True","obfuscated"
"Life Changer EA.mq4","C","MeanReversal","33","RSI","False","True","clean"
"M-Golden Scalper.mq4","C","Scalping","29","RSI","False","False","clean"
"M-Sniper EA.mq4","C","GridMartingale","42","RSI","True","False","clean"
"MA-RSI-EA.mq4","C","Trend","35","MA, RSI","False","False","clean"
"MegaDroid~.mq4","C","GridMartingale","11","MA, RSI","False","True","obfuscated"
"me_SimpleTradingDashboard.mq4","C","Unknown","22","","False","True","clean"
"Mforex Magic EA.mq4","C","GridMartingale","43","RSI","True","False","clean"
"Mforex New Scalper.mq4","C","GridMartingale","46","RSI","True","True","clean"
"Mforex Smart Scalper 5.0.mq4","C","GridMartingale","38","MA, RSI","False","True","clean"
"mGRID EA.mq4","C","Trend","44","MA, Donchian","False","True","clean"
"Mi New Line 1.mq4","C","GridMartingale","43","RSI","True","False","clean"
"Mi New Line 2.mq4","C","GridMartingale","43","RSI","True","False","clean"
"MiEA 1.3.mq4","C","Unknown","31","RSI","True","False","clean"
"MiEA 2.3.mq4","C","GridMartingale","43","RSI","True","False","clean"
"MiEA 3.2.mq4","C","GridMartingale","43","RSI","True","False","clean"
"MiEA 4.4.mq4","C","GridMartingale","43","RSI","True","False","clean"
"MiEA 5.6.mq4","C","GridMartingale","43","RSI","True","False","clean"
"MiEA 6.3.mq4","C","GridMartingale","43","RSI","True","False","clean"
"MiEA 7.3.mq4","C","GridMartingale","43","RSI","True","False","clean"
"MiEA 8.2.mq4","C","Unknown","31","RSI","True","False","clean"
"MiEA 9 EA 2.0.mq4","C","Unknown","31","RSI","True","False","clean"
"Money Pile EA.mq4","C","GridMartingale","43","","True","True","clean"
"MS_1.mq4","C","GridMartingale","31","","False","True","clean"
"MS_2.mq4","C","GridMartingale","31","","False","True","clean"
"MS_4.mq4","C","GridMartingale","31","","False","True","clean"
"MS_5.mq4","C","GridMartingale","31","","False","True","clean"
"MT4 Elliot Wave.mq4","C","Unknown","19","","False","True","clean"
"Multi purpose trade manager.mq4","C","MeanReversal","44","RSI","True","True","clean"
"MultiBreakOut_v5.mq4","C","MeanReversal","44","RSI","True","True","clean"
"MultiHedge V1.1.mq4","C","MeanReversal","33","RSI","False","False","clean"
"Multilot-ASCTRend.mq4","C","Unknown","14","","False","False","clean"
"Multilot.mq4","C","Breakout","26","Fractals","False","False","clean"
"MultiPairWPR.mq4","C","MeanReversal","47","RSI","True","True","clean"
"multipositionexpert_v11.11.mq4","C","Unknown","22","","False","True","clean"
"my.mq4","C","Scalping","46","","True","True","clean"
"My4xScalper_GOLD~.mq4","C","Scalping","19","","True","True","obfuscated"
"MyFirstEA.mq4","C","Trend","46","MA, RSI","True","False","clean"
"MyFriend.mq4","C","Scalping","46","Pivot","True","True","clean"
"myMACD4ver2.mq4","C","Trend","47","MA, MACD, RSI","False","True","clean"
"MyNewsTrading_EA.mq4","C","Breakout","45","","True","True","clean"
"MyProject.mq4","C","Breakout","47","","True","True","clean"
"my_pyr.mq4","C","Breakout","47","","True","True","clean"
"NAS KILLER_PRO_EA 3.0.mq4","C","Unknown","10","","False","False","clean"
"Neuro-MartingailExpertStochastic_v3.mq4","C","GridMartingale","42","Stochastic","True","True","clean"
"Nevalyashka_BreakdownLevel.mq4","C","GridMartingale","42","","True","True","clean"
"Newest Universal 10.mq4","C","Trend","26","MA","True","True","obfuscated"
"Newesta 4.2.mq4","C","MeanReversal","46","RSI","True","True","clean"
"NEWEXPERT-NN.mq4","C","Scalping","38","MA","False","True","clean"
"NewM2H.mq4","C","GridMartingale","42","","True","True","clean"
"News On Mt4.mq4","C","Trend","34","MA","False","True","clean"
"News_AmazingEA_1.0.5.mq4","C","Scalping","40","RSI","False","True","clean"
"Night Grid FZ.mq4","C","GridMartingale","45","","True","True","clean"
"Nikra EA.mq4","C","Unknown","24","","False","True","clean"
"NinaEA v.02.mq4","C","Trend","45","MA","True","False","clean"
"NinaEA v03.mq4","C","Trend","45","MA","True","False","clean"
"NinaEAtest.mq4","C","Trend","45","MA","True","False","clean"
"NinjaForex_Versi AI unlimited fix.mq4","C","Scalping","43","MA, RSI","True","False","partially_obfuscated"
"NinjaForex_Versi AI unlimited.mq4","C","Scalping","25","MA, RSI","True","False","obfuscated"
"No_Nonsense_ATR.mq4","C","MeanReversal","44","RSI","True","True","clean"
"NRTR_EXP.mq4","C","Breakout","26","","False","False","clean"
"Nuclear Option script.mq4","C","Unknown","22","","False","True","clean"
"O2.mq4","C","MeanReversal","36","CCI","False","True","clean"
"OBOS Divergence_FXTS_FastMod.mq4","C","GridMartingale","42","MA, RSI, Donchian","True","True","clean"
"OBOS_Divergence(Bullforyou.com).mq4","C","GridMartingale","43","MA, RSI, Donchian","True","True","clean"
"OGT Zone Recovery EA v1.5.mq4","C","GridMartingale","35","RSI","False","True","clean"
"OM_2WAY_v3.6.mq4","C","GridMartingale","38","","False","True","clean"
"once per bar expert.mq4","C","Trend","45","MA","True","True","clean"
"OndaFX-EDU.mq4","C","Trend","25","MA","True","True","obfuscated"
"ORIGINAL88.mq4","C","Unknown","10","","False","False","clean"
"OU Forex Mastery Market Scanner.mq4","C","Scalping","40","MA, RSI, Donchian","False","True","clean"
"OverHedge.mq4","C","GridMartingale","33","MA","False","True","clean"
"OverHedgeV2.mq4","C","GridMartingale","36","MA","False","True","clean"
"Overhedgev2_www_forex-instruments_info.mq4","C","GridMartingale","36","MA","False","True","clean"
"Overlay Positive Hedging v1a_.mq4","C","Trend","37","MA","False","True","clean"
"Pair High Return(R3-07).mq4","C","MeanReversal","24","RSI","True","True","obfuscated"
"PairTrader_Exp v41.mq4","C","Scalping","44","","True","False","clean"
"Palmuz.mq4","C","GridMartingale","32","MA","False","True","clean"
"parabolic_2_screen.mq4","C","Trend","45","MA","True","True","clean"
"parabolic_DMI.mq4","C","Trend","45","ADX","True","True","clean"
"parabolic_DMI2.mq4","C","Trend","45","ADX","True","True","clean"
"ParaSwing_EA~eurusd m15.mq4","C","MeanReversal","31","Stochastic","False","False","clean"
"Pauls MACD EA checks re-entry and high TF.mq4","C","Trend","43","MA, MACD","True","True","clean"
"paul_maloma.mq4","C","Breakout","45","","True","True","clean"
"PCS-01.mq4","C","Unknown","35","Donchian","True","True","clean"
"PCS-02.mq4","C","Trend","47","MA, Donchian","True","True","clean"
"Pending Breakout.mq4","C","Scalping","42","","False","True","clean"
"pending martingale 1.mq4","C","Unknown","10","","False","False","clean"
"Pending Orders.mq4","C","Breakout","29","","False","False","clean"
"perevorot.mq4","C","Unknown","30","","True","True","clean"
"PFP v3-2.mq4","C","Trend","36","MA, Pivot","False","True","clean"
"PIIP-3.mq4","C","Unknown","30","","True","True","clean"
"PIIP.mq4","C","Breakout","42","","True","True","clean"
"Pioner_v2.mq4","C","GridMartingale","44","","True","True","clean"
"Pioner_v4.mq4","C","GridMartingale","44","","True","True","clean"
"Pioner_v7.mq4","C","GridMartingale","44","","True","True","clean"
"pio_pyr.mq4","C","Unknown","14","","False","False","clean"
"pipschart_revamp_v3P.mq4","C","Trend","40","MA, RSI","False","True","clean"
"Pipsover.mq4","C","Trend","45","MA","True","True","clean"
"Pips_Miner_SE.mq4","C","MeanReversal","37","RSI","False","True","clean"
"Precis EA 2.0.mq4","C","Unknown","31","RSI","True","False","clean"
"Precis EA.mq4","C","Unknown","31","RSI","True","False","clean"
"Price Action Scalping.mq4","C","Scalping","24","RSI","True","True","obfuscated"
"PullBack_V1a.mq4","C","MeanReversal","44","RSI","True","True","clean"
"Pyramid_Pro_v.8.01MA_edu.mq4","C","GridMartingale","34","","True","True","partially_obfuscated"
"Quasimodo ea.mq4","C","Trend","42","MA","False","False","clean"
"QUASMOD 2 EA.mq4","C","Trend","42","MA","False","False","clean"
"renkolivechart_v600_indi.mq4","C","MeanReversal","28","RSI","False","False","clean"
"renko_hunter.mq4","C","Breakout","45","","True","True","clean"
"RndTrade.mq4","C","Unknown","17","","False","False","clean"
"Robot 2050_ LONG.mq4","C","Scalping","46","","False","True","clean"
"Robot Forex 2015 Profesional.mq4","C","Scalping","46","","False","True","clean"
"Robot2050_ Short.mq4","C","Scalping","46","","False","True","clean"
"rocco3.mq4","C","Unknown","10","","False","False","clean"
"rotating_text.mq4","C","Unknown","19","","False","True","clean"
"RPM5_MT4V1_[ea].mq4","C","Unknown","0","","False","False","unknown"
"RPT-bad.mq4","C","Unknown","25","","True","False","clean"
"RPT.mq4","C","Unknown","28","","True","False","clean"
"RPT_AUD.mq4","C","Unknown","24","","True","False","clean"
"RPT_AUD_TAKE.mq4","C","Unknown","24","","True","False","clean"
"RPT_EUR.mq4","C","Unknown","24","","True","False","clean"
"RSI CROSS.mq4","C","MeanReversal","28","RSI","False","False","clean"
"RSI trader v0.10.mq4","C","Scalping","37","MA, RSI","False","False","clean"
"RSI_BollingerBands.mq4","C","MeanReversal","47","RSI, Stochastic","True","True","clean"
"RSI_trader_v0[1].10.mq4","C","Unknown","0","","False","False","unknown"
"RSI_Tradexperts.mq4","C","GridMartingale","46","RSI","True","True","clean"
"RUBBERBANDS_1_6.mq4","C","MeanReversal","47","RSI","True","True","clean"
"RUSSIAN BEAR High Frequency Trading HFT 2018 .mq4","C","Unknown","38","","True","True","clean"
"russian20-HP.mq4","C","Scalping","36","MA","False","True","clean"
"russian20-HP1.mq4","C","Scalping","36","MA","False","True","clean"
"russian20_HP.mq4","C","Scalping","36","MA","False","True","clean"
"S-R.1.mq4","C","Breakout","47","","True","True","clean"
"Scalp-M PRO 2.0.mq4","C","GridMartingale","44","RSI","True","False","clean"
"SCALPANDO marti pro for cent acc m15.mq4","C","GridMartingale","30","RSI","True","True","obfuscated"
"Scalper Cash Maker EA.mq4","C","Scalping","29","RSI","False","False","clean"
"Scalper_FX.mq4","C","Scalping","19","RSI","True","False","obfuscated"
"Sell 20-40TP l 25 griglia l 10 ordini.mq4","C","MeanReversal","46","RSI","True","True","clean"
"Sell Stop Buy Stop.mq4","C","Scalping","44","RSI","False","False","clean"
"sell&buy.mq4","C","Unknown","14","","False","False","clean"
"sellbuy-mod.mq4","C","Scalping","40","","True","False","clean"
"sendKeybd.mq4","C","MeanReversal","31","RSI","False","False","clean"
"Send_Pending_Order.mq4","C","Breakout","44","","True","True","clean"
"sereganlp2008.mq4","C","Trend","45","MA, Pivot","True","True","clean"
"Serg153 Martingail.mq4","C","GridMartingale","37","","True","True","clean"
"serg_martini2.mq4","C","Unknown","22","","False","True","clean"
"Servant Avg+++..mq4","C","GridMartingale","46","RSI","True","True","clean"
"Set TP (Price).mq4","C","MeanReversal","47","RSI, CCI","True","True","clean"
"Setka Limit Loc v4.2.mq4","C","Scalping","35","","False","True","clean"
"SetPendingGridLimit.mq4","C","Breakout","47","","True","True","clean"
"SevenFx 7a.mq4","C","Unknown","13","","False","True","partially_obfuscated"
"SevenTrade EA 2.0.mq4","C","Unknown","31","RSI","True","False","clean"
"Shafina v1.mq4","C","Scalping","32","MA","True","True","obfuscated"
"Shafina v2.mq4","C","Scalping","32","MA","True","True","obfuscated"
"SHE_AntiBaluev_Pro.mq4","C","Unknown","37","","True","True","clean"
"SHE_kanskigor.mq4","C","Unknown","19","","False","False","clean"
"ShockBar 1.2.mq4","C","GridMartingale","44","","True","True","clean"
"ShockBar1.2.mq4","C","GridMartingale","44","","True","True","clean"
"Shurgin_Collector.mq4","C","Unknown","16","","False","False","clean"
"siimple.mq4","C","Unknown","35","","True","True","clean"
"Simple Expert Advisor with Functions.mq4","C","Trend","47","MA","True","True","clean"
"SimplePivot.mq4","C","Unknown","22","Pivot","False","True","clean"
"SimplyOpen.mq4","C","MeanReversal","42","RSI, Fractals","True","False","clean"
"SistemaEA_ByFreddy_mod1.mq4","C","GridMartingale","44","","True","True","clean"
"SistemaEA_ByFreddy_Trans_v3.mq4","C","GridMartingale","43","RSI","True","True","clean"
"SistemaEA_ByFreddy~.mq4","C","GridMartingale","46","RSI","True","True","clean"
"Six Study EA.mq4","C","MeanReversal","36","RSI","False","False","clean"
"sixtysecound ea.mq4","C","Unknown","10","","False","False","clean"
"SKIV_Trader.mq4","C","Scalping","45","","True","True","clean"
"SkyUp EA.mq4","C","Scalping","34","RSI","False","False","clean"
"SL-TP_move-by-Mouse.mq4","C","Unknown","33","","True","True","clean"
"Slave-yang nyontek~.mq4","C","Scalping","23","","True","True","obfuscated"
"SLR_alpari.mq4","C","Trend","32","MA","False","False","clean"
"SLR_BIF.mq4","C","Trend","32","MA","False","False","clean"
"SLR_Lite.mq4","C","Trend","32","MA","False","False","clean"
"SLR_Test.mq4","C","Trend","32","MA","False","False","clean"
"sltp-currency.mq4","C","Unknown","30","","True","True","clean"
"smart s.mq4","C","MeanReversal","33","RSI","False","True","clean"
"Smart Scalping EU M1.mq4","C","Scalping","39","","False","True","clean"
"Smart_Algoritm_Kod.mq4","C","Trend","28","MA","False","True","partially_obfuscated"
"SMA_MultiHdege2.mq4","C","Trend","33","MA","False","False","clean"
"SMC eur usd(26AUG05).mq4","C","Trend","43","MA, MACD, RSI","False","True","clean"
"SMC eur usd1(26AUG05).mq4","C","Trend","43","MA, MACD, RSI","False","True","clean"
"SMC eur usd1.mq4","C","Trend","43","MA, MACD, RSI","False","True","clean"
"SMC eur usd2.mq4","C","Trend","43","MA, MACD, RSI","False","True","clean"
"SMC Trader Camel CCI MACD.mq4","C","Trend","43","MA, MACD, CCI","False","True","clean"
"SMC Trader Kurt.mq4","C","Trend","43","MA, MACD, RSI","False","True","clean"
"SMC Trader Kurt1.mq4","C","Trend","43","MA, MACD, RSI","False","True","clean"
"SMC Trader Kurt2.mq4","C","Trend","43","MA, MACD, RSI","False","True","clean"
"SMC Trader MACD v1.0.mq4","C","Trend","41","MA, MACD","False","True","clean"
"SMC Trader Manual.mq4","C","Scalping","35","","False","True","clean"
"SMC Trader Skeleton v2(07SEP05).mq4","C","Scalping","46","","True","True","clean"
"SMC Trader TriggerLines V2.1.mq4","C","Scalping","38","MA","False","True","clean"
"SMC.mq4","C","Scalping","35","","False","True","clean"
"SMC2.mq4","C","Scalping","35","","False","True","clean"
"SMC3.mq4","C","Scalping","35","","False","True","clean"
"SMC_Trader_TriggerLines_V2.mq4","C","Scalping","38","MA","False","True","clean"
"sqDynamicBreakoutBox_v1 600+.mq4","C","Trend","39","MA, RSI","False","True","clean"
"Stoch.mq4","C","Scalping","46","","True","True","clean"
"Sure Hedging pipschart.mq4","C","GridMartingale","39","","True","True","clean"
"SureForexHedging_2.mq4","C","GridMartingale","39","","True","True","clean"
"SyDiv_v0.1.mq4","C","Scalping","44","RSI","False","False","clean"
"TDI Red Green Tape.mq4","C","Scalping","31","MA, RSI","False","False","clean"
"TDI Red Green_alerts_mtf 2.02 alert.mq4","C","Scalping","31","MA, RSI","False","False","clean"
"TDI.mq4","C","Scalping","31","MA, RSI","False","False","clean"
"Teodosi_EA.mq4","C","MeanReversal","38","RSI","False","True","clean"
"TimeBasedEA.mq4","C","Trend","47","MA","True","True","clean"
"TITUS OB Indicator.mq4","C","Trend","29","MA","False","False","clean"
"Trade City D1 MA 5 EA.mq4","C","Unknown","10","","False","False","clean"
"traders-dynamic-index.mq4","C","Scalping","31","MA, RSI","False","False","clean"
"Trading profit protect_ea.mq4","C","Scalping","30","","False","False","clean"
"traide-advisor.mq4","C","MeanReversal","46","RSI","True","True","clean"
"Trailing Stop v_tdavid.mq4","C","Scalping","38","","False","True","clean"
"TrailingStopCmillion_v1.mq4","C","Scalping","46","Fractals","True","True","clean"
"TrailingStopFrCnSAR.mq4","C","Scalping","46","Fractals","True","True","clean"
"TralingStop_v3.mq4","C","Breakout","37","","True","False","clean"
"TralPendOrder.mq4","C","Breakout","42","","True","True","clean"
"Transfer2Fractal.mq4","C","Unknown","32","Fractals","True","True","clean"
"Transformer_EA_V(3).mq4","C","GridMartingale","31","RSI","True","True","obfuscated"
"TrendCapture.mq4","C","Trend","45","ADX","True","True","clean"
"Trendline Trader.mq4","C","Trend","47","MA, Donchian","True","True","clean"
"Trendline.Trader.mq4","C","Trend","47","MA","True","True","clean"
"TrendMeLeaveMe.mq4","C","Breakout","45","","True","True","clean"
"TRIANGULAR PRICE CORRECTION.mq4","C","Trend","43","MA","False","True","clean"
"TriangularArbitrage.mq4","C","Trend","37","MA","False","True","clean"
"Trio Orchestra v1.0.mq4","C","GridMartingale","24","","True","True","obfuscated"
"TrioDancer_4.4.5.mq4","C","GridMartingale","43","","True","False","partially_obfuscated"
"TSR.mq4","C","GridMartingale","15","Stochastic","True","True","obfuscated"
"Ultimate Trader Behind The Charts Cracked MQL4.mq4","C","Unknown","10","","False","False","clean"
"Universal EA 2.0.mq4","C","Scalping","34","RSI","False","False","clean"
"Universal EA.mq4","C","Scalping","34","RSI","False","False","clean"
"UnNomGuaiV1.132.mq4","C","MeanReversal","38","MA, RSI, CCI","False","False","clean"
"Vangus EA.mq4","C","GridMartingale","43","RSI","True","False","clean"
"VapzFX PRO MQ4.mq4","C","Scalping","26","MA","True","True","obfuscated"
"VR SETKA A.mq4","C","GridMartingale","28","RSI","False","True","clean"
"waygrow_edu EA.mq4","C","Unknown","10","","True","True","obfuscated"
"XAU M V2.5 SC.mq4","C","GridMartingale","32","RSI, Donchian","True","True","obfuscated"
"ZEAdor.mq4","C","Unknown","11","","True","True","obfuscated"
"ZScore Diff 3 pairs EA_011.mq4","C","Trend","38","MA, RSI","False","True","clean"
"Zupp.mq4","C","Unknown","14","","False","False","clean"
"ZUPp148.mq4","C","Unknown","14","","False","False","clean"
"ZUPpush notif_148 v7.mq4","C","Unknown","14","","False","False","clean"
